ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
203,Portlets as Web Components: an Introduction,"portal applications,web services,component-based development,portlets",['D' 'H'],web components,portal applications,web components portal applications
204,Methodologies for Developing Multi-Agent Systems,"software agents,intelligent agents,multi-agent systems,agent-oriented software engineering,agent-oriented methodologies",['D' 'I'],developing multi-agent systems,agent-oriented software engineering,developing multi-agent systems agent-oriented software engineering
205,Process Construction and Customization,"design methods,design,software process",['D' 'K'],process construction,software process,process construction software process
206,Requirements Negotiation Using Multi-Criteria Preference Analysis,"conflict resolution,inconsistency management,requirements negotiation,multi-criteria preference analysis,WinWin",['D' 'K'],multi-criteria preference analysis,multi-criteria preference analysis,multi-criteria preference analysis multi-criteria preference analysis
207,ADDS: A Document-Oriented Approach for Application Development,"software development approach,domain-specific markup languages,software maintenance,software evolution,modular language processors,XML",['D' 'I'],document-oriented approach,domain-specific markup languages,document-oriented approach domain-specific markup languages
208,What we Expect from Digital Libraries,"active document,annotation,black list,conceptual search,digital library,e-Learning,Hyperwave,links to the future,portal-systems,repositories of knowledge,searching,visualization,white list",['H'],digital libraries,active document,digital libraries active document
209,Object-Oriented Embedded System Development Based on Synthesis and Reuse of OO-ASIPs,"embedded system design,hardware/software synthesis,highlevel synthesis,object_oriented system design,application_specific instruction processors",['C' 'J'],object-oriented embedded system development based,embedded system design,object-oriented embedded system development based embedded system design
210,Symbolic Approach to the Analysis of Security Protocols,"symbolic,bisimulation,protocols,noninterference,process algebra,equivalence-checking,formal methods",['C'],symbolic approach,process algebra,symbolic approach process algebra
211,Fast Two-Stage Lempel-Ziv Lossless Numeric Telemetry Data Compression Using a Neural Network Predictor,"Lempel-Ziv,neural networks,prediction,lossless compression,two-stage",['E' 'H'],fast two-stage lempel-ziv lossless numeric telemetry data compression,neural networks,fast two-stage lempel-ziv lossless numeric telemetry data compression neural networks
212,The Tiling of the Hyperbolic 4D Space by the 120-cell is Combinatoric,"cellular automata,hyperbolic plane",['F'],hyperbolic 4d space,cellular automata,hyperbolic 4d space cellular automata
213,Full Hash Table Search using Primitive Roots of the Prime Residue Group Z/p,"hash tables,full table scatter storage techniques,collision strategy,cyclic group mod p,primitive roots of the prime residue group mod p",['E' 'G'],full hash table search,full table scatter storage techniques,full hash table search full table scatter storage techniques
214,Rewriting Tissue P Systems,"Tissue P systems,rewriting tissue P systems,computational universality,matrix grammars",['F'],rewriting tissue,computational universality,rewriting tissue computational universality
215,A Formal Model of Forth Control Words in the Pi-Calculus,"Forth,picalculus,operational semantics",['D' 'F'],formal model,operational semantics,formal model operational semantics
216,On the Decomposition of Boolean Functions via Boolean Equations,"Boolean function,Boolean decomposition,Boolean equation",['E' 'G'],boolean functions,boolean function,boolean functions boolean function
217,Geometric Retrieval for Grid Points in the RAM Model,"Multi-Dimensional Data Structures,Indexing,Spatial Data,Grid Model,File Systems",['E'],geometric retrieval,multi-dimensional data structures,geometric retrieval multi-dimensional data structures
218,Incremental Maintenance of Data Warehouses Based on Past Temporal Logic Operators,"temporal data warehouse,temporal databases,temporal relational algebra,temporal logic,self-maintenance",['F' 'H'],past temporal logic operators,temporal data warehouse,past temporal logic operators temporal data warehouse
219,"X-Global: a System for the ""Almost Automatic"" and Semantic Integration of XML Sources at Various Flexibility Levels","Information Source Integration,Interschema Property,XML",['H'],semantic integration,information source integration,semantic integration information source integration
221,Coroutines in Lua,"coroutines,control structures,generators,Lua language",['D'],coroutines,control structures,coroutines control structures
222,A Relational Model for Component Interconnection,"coordination models,relations,coalgebra",['D' 'F'],relational model,coordination models,relational model coordination models
223,A Modular Rewriting Semantics for CML,"rewriting logic,semantics of programming languages,modularity,Concurrent ML",['F'],modular rewriting semantics,rewriting logic,modular rewriting semantics rewriting logic
224,Implementing Coordinated Error Recovery for Distributed Object-Oriented Systems with AspectJ,"aspect-oriented programming,exception handling,coordinated atomic actions,separation of concerns,distributed programming",['D'],implementing coordinated error recovery,coordinated atomic actions,implementing coordinated error recovery coordinated atomic actions
226,Partial Categorical Multi-Combinators and Church-Rosser Theorems,"functional programming,categorical combinators,explicit substitutions",['D' 'F'],partial categorical multi-combinators,functional programming,partial categorical multi-combinators functional programming
227,LuaInterface: Scripting the .NET CLR with Lua,"scripting,language interoperability,reflection",['D'],net clr,language interoperability,net clr language interoperability
228,Tactics for Remote Method Invocation,"middleware,tactics definition language,distributed programming",['C' 'D'],remote method invocation,tactics definition language,remote method invocation tactics definition language
229,Total Functional Programming,functional programming,['D'],total functional programming,functional programming,total functional programming functional programming
230,Snippets: Support for Drag-and-Drop Programming in the Redwood Environment,"snippets,software development,programming environment,visual programming,design tool,drag-and-drop,Redwood",['D' 'H'],drag-and-drop programming,software development,drag-and-drop programming software development
231,MetaJ: An Extensible Environment for Metaprogramming in Java,"metaprogramming,metaprogramming tools,refactoring,program transformation,generative programming,Java,object-oriented frameworks",['D'],extensible environment,program transformation,extensible environment program transformation
232,Synchronization Can Improve Reactive Systems Control and Modularity,"Reactive systems,Action systems,Modular design,Concurrency",['D' 'F'],improve reactive systems control,reactive systems,improve reactive systems control reactive systems
233,Architectural Abstraction as Transformation of Poset Labelled Graphs,"Architecture,Refinement,Abstraction,Graphs",['D' 'F'],poset labelled graphs,architecture,poset labelled graphs architecture
234,A MOF-Based Metamodeling Environment,"Model Driven Architecture,Model-Integrated Computing,graph transformations",['D'],mof-based metamodeling environment,model driven architecture,mof-based metamodeling environment model driven architecture
235,Tools for Parametric Verification. A Comparison on a Case Study,"parametric verification,protocol,timed  model-checking",['C' 'F' 'I'],parametric verification,parametric verification,parametric verification parametric verification
237,Platform Modeling and Model Transformations for Analysis,"model-based development,model transformations,models of computation,graph transformations,software verification",['D'],platform modeling,model-based development,platform modeling model-based development
239,HOL-Z 2.0: A Proof Environment for Z-Specifications,"theorem proving,refinement,Z",['D' 'F'],proof environment,theorem proving,proof environment theorem proving
240,Checking Object System Designs Incrementally,"multi-object logic,model checking,modelling and design,object system,temporal logic,verification",['F' 'I'],checking object system designs incrementally,multi-object logic,checking object system designs incrementally multi-object logic
241,Tool Support for the Interactive Derivation of Formally Correct Functional Programs,"constructive program development,equational reasoning,functional programming,heapsort,non-deterministic specification,program transformation,<,i,>,Ultra,<,/i,>,unfold-fold",['D' 'F' 'I'],formally correct functional programs,constructive program development,formally correct functional programs constructive program development
242,Optimized Temporal Logic Compilation,"verification,simulation,system-Level,temporal logic,emulation",['B' 'I'],optimized temporal logic compilation,temporal logic,optimized temporal logic compilation temporal logic
243,A Case Study in Verification of UML Statecharts: the PROFIsafe Protocol,"reliability,verification",['C' 'D'],case study,reliability,case study reliability
244,Moby/RT: A Tool for Specification and Verification of Real-Time Systems,"real-time,specification,formal verification,requirements  capture,Constraint Diagrams,PLC-Automata",['D' 'F'],real-time systems,formal verification,real-time systems formal verification
245,Using Program Checking to Ensure the Correctness of Compiler Implementations,"compiler,implementation correctness,program checking,certificates,compiler architecture,compiler generators,code generation",['D' 'F'],program checking,implementation correctness,program checking implementation correctness
247,Alias Verification for Fortran Code Optimization,"alias,dummy aliasing,verification,optimization",['D'],fortran code optimization,dummy aliasing,fortran code optimization dummy aliasing
249,VOC: A Methodology for the Translation Validation of OptimizingCompilers,"translation validation,optimizing compilers,SGI Pro-64,voc-64,global optimizations,verification conditions,permutation rules",['D' 'I'],translation validation,translation validation,translation validation translation validation
250,A Cross-Disciplinary Bibliography on Visual Languages for Information Sharing and Archiving,"visual languages,visual communication,constructed languages,sign languages,interactive maps,computer-supported communication,information archiving,information retrieval,language independent communication",['A' 'H' 'J'],cross-disciplinary bibliography,language independent communication,cross-disciplinary bibliography language independent communication
252,"Foundations of MIRACLE: Multimedia Information Repository, A Computer-supported Language Effort","visual languages,visual communication,constructed languages,computer-supported communication,information archiving,information retrieval,language independent communication,converging technology,multimedia",['A' 'H' 'J'],multimedia information repository,language independent communication,multimedia information repository language independent communication
253,The Future of PCs and Implications on Society,"wearable PC,display technology,future computers,societal implications",['H' 'J' 'K'],future,wearable pc,future wearable pc
254,Applications of MIRACLE: Working With Dynamic Visual Information,"visual languages,visual communication,interactive maps,computer-supported communication,information archiving,information retrieval,multimedia,dynamic maps,abstract movies",['A' 'H' 'J'],dynamic visual information,visual languages,dynamic visual information visual languages
255,Fibonacci Type Coding for the Regular Rectangular Tilings of the Hyperbolic Plane,"cellular automata,tiltings,hyperbolic plane",['F'],fibonacci type coding,cellular automata,fibonacci type coding cellular automata
256,Cyclical Structure Converter (CSC): a System for Handling the Interaction of Structured and Semi-structured Data Sources,"information source integration,interschema property,cooperative information systems,semi-structured information sources",['H'],cyclical structure converter,information source integration,cyclical structure converter information source integration
258,Unified Access to Heterogeneous Audiovisual Archives,"FAETHON,audiovisual archive,MPEG-4,MPEG-7,thesaurus,search engine,semantic query,personalization,user profile",['H'],heterogeneous audiovisual archives,audiovisual archive,heterogeneous audiovisual archives audiovisual archive
259,Automatic Discovery and Aggregation of Compound Names for the Use in Knowledge Representations,"corpora,semantic relations,topic maps,text mining,knowledge management,named entity extraction",['H' 'I'],automatic discovery,named entity extraction,automatic discovery named entity extraction
260,The Richness of Diversity in Knowledge Creation: An Interdisciplinary Overview,"distributed knowledge management,evolutionary theory,theory of complexity,communites of practice,cognitivism,constructivism,semantic heterogeneity,structuration theory",['A' 'H' 'K'],knowledge creation,distributed knowledge management,knowledge creation distributed knowledge management
261,"Converging Knowledge Management, Training and e-learning: Scenarios to Make it Work","knowledge management,training,e-learning,scenarios",['A' 'H' 'J' 'K'],converging knowledge management,knowledge management,converging knowledge management knowledge management
262,Filters in the Strategy Formulation Process,"strategy process,filters,weak signals",['J'],strategy formulation process,strategy process,strategy formulation process strategy process
263,Knowledge Management for Computational Problem Solving,"algorithmic research,knowledge management,problem-centred,collaborative knowledge management architecture,knowledge flow measurement,openCPS",['H'],computational problem solving,collaborative knowledge management architecture,computational problem solving collaborative knowledge management architecture
264,Managing Operation Knowledge for the Metal Industry,"Knowledge management system,ontology,KAON,metal industry",['H' 'I' 'K'],managing operation knowledge,knowledge management system,managing operation knowledge knowledge management system
265,Process-oriented Knowledge Structuring,"knowledge management,knowledge structure,visualization,process context,browsing,business process,knowledge base,knowledge bearer,knowledge carrier,knowledge domain,knowledge map,knowledge navigator,post-structuring,pre-structuring,process assistant,process modeling tool,key word based search,topic map engine",['D' 'E' 'H' 'K'],process-oriented knowledge structuring,key word based search,process-oriented knowledge structuring key word based search
266,"The Benefits of Knowledge Management - Results of the German Award ""Knowledge Manager 2002""","knowledge management,balanced scorecard,measurement of benefits",['A' 'H'],knowledge management,knowledge management,knowledge management knowledge management
267,The post-Nonaka Knowledge Management,"third generation knowledge management,productivity,knowledge worker,scientific management,SECI,ASHEN,Cynefin,on demand workplace,knowledge management optimization factors,KM factors",['A' 'H'],post-nonaka knowledge management,knowledge management optimization factors,post-nonaka knowledge management knowledge management optimization factors
268,Towards the Semantic Grid: Putting Knowledge to Work in Design Optimisation,"knowledge engineering,ontology,XML,knowledge base,JESS,production rules,workflow planning",['I'],semantic grid,knowledge engineering,semantic grid knowledge engineering
270,SCBS Social Capital Benchmarking System - Profiting from Social Capital when Building Network Organisations,"social capital,intellectual capital,clusters,benchmarking,resources and capabilities,knowledge management",['H'],scbs social capital benchmarking system,social capital,scbs social capital benchmarking system social capital
271,Pruning-based Identification of Domain Ontologies,"ontologies,pruning,knowledge management,structural computing",['H'],pruning-based identification,knowledge management,pruning-based identification knowledge management
272,"Skill and Competence Management as a Base of an Integrated Personnel Development (IPD) - A Pilot Project in the Putzmeister, Inc./Germany","personnel development,skill management,skill management system,competence management,pilot project,knowledge management system",['A'],integrated personnel development,knowledge management system,integrated personnel development knowledge management system
273,Individual Knowledge as a Bridge between Human and Customer Capital,"individual knowledge,explicit and collective,customer capital,intuition processes,interpretation,integration",['J'],individual knowledge,individual knowledge,individual knowledge individual knowledge
274,A Formal Approach to Ontology-Based Semantic Match of Skills Descriptions,"knowledge representation,skill management,matchmaking,ontologies",['I' 'K'],ontology-based semantic match,knowledge representation,ontology-based semantic match knowledge representation
275,A Tool Kit for Measurement of Organisational Learning: Methodological Requirements and an Illustrative Example,"organisational learning,measurement,personal construct theory,role construct repertory test",['A' 'J'],tool kit,role construct repertory test,tool kit role construct repertory test
276,A Practical Knowledge-based Approach to Skill Management and Personal Development,"skills,skill database,skill management,skill updating,project planning,human resource planning",['J' 'K'],practical knowledge-based approach,human resource planning,practical knowledge-based approach human resource planning
277,Applying Competence Prerequisite Structures for eLearning and Skill Management,"skill management,eLearning,personalised hypermedia",['H' 'J' 'K'],applying competence prerequisite structures,skill management,applying competence prerequisite structures skill management
278,Identifying Employee Competencies in Dynamic Work Domains: Methodological Considerations and a Case Study,"skills management,competency management,knowledge space theory,competence-performance approach,human resource development,repertory grid technique,case study",['H'],identifying employee competencies,knowledge space theory,identifying employee competencies knowledge space theory
280,Transparency and Transfer of Individual Competencies - A Concept of Integrative Competence Management,"knowledge management,skill management,competence management,resource based view,competence based view,competence profiling,competence transfer",['A' 'H' 'I' 'K'],integrative competence management,resource based view,integrative competence management resource based view
281,Skill Assessment in Problem Solving and Simulated Learning Environments,"skill assessment,problem solving,simulated learning environment,knowledge structure",['J'],simulated learning environments,simulated learning environment,simulated learning environments simulated learning environment
282,Bad Management and its Consequences in a Problematic European Union Member,"skills management,exports,Portugal,training,education",['K'],problematic european union member,skills management,problematic european union member skills management
283,Sharing Knowledge on Knowledge - The eXact Peripheral Expertise Awareness System,"groupware,knowledge management,expertise,awareness",['H'],exact peripheral expertise awareness system,knowledge management,exact peripheral expertise awareness system knowledge management
284,Organisational Memory Information Systems An example of a Group Memory System for the Management of Group Competencies,"competence management,ontologies,knowledge management,knowledge-intensive organisations,organisational memory,group memory",['H'],organisational memory information systems,competence management,organisational memory information systems competence management
285,Monitoring Temporal Logic Specifications Combined with Time Series Constraints,"Temporal Logic,Run-time Execution Monitoring,Rapid Prototyping,Execution-based Model Checking,Real-time Systems",['D' 'F'],monitoring temporal logic specifications combined,run-time execution monitoring,monitoring temporal logic specifications combined run-time execution monitoring
287,On the Use of Graph Transformation in the Formal Specification of Model Interpreters,"graph grammars,graph transformations,model-integrated computing,domain-specific modeling languages,model-driven architecture,formal specifications",['D'],graph transformation,domain-specific modeling languages,graph transformation domain-specific modeling languages
288,Defining a Formal Coalgebraic Semantics for The Rosetta Specification Language,"coalgebra,state-based,system behavior,algebraic specification,system level design language,formal semantics,denotational semantics",['F'],formal coalgebraic semantics,system level design language,formal coalgebraic semantics system level design language
289,An Information Flow Method to Detect Denial of Service Vulnerabilities,"denial of service,protocols,admissible interference,bisimulation,equivalence-checking",['C'],information flow method,admissible interference,information flow method admissible interference
290,Automatically Generated CSP Specifications,"CSP,model,formal specification,UML,translator,grammar",['I'],automatically generated csp specifications,formal specification,automatically generated csp specifications formal specification
291,Implementation of an Embedded Hardware Description Language Using Haskell,"domain-specific languages,embedded languages,hardware description",['B' 'D' 'I'],embedded hardware description language,domain-specific languages,embedded hardware description language domain-specific languages
292,Towards a Calculus of State-based Software Components,"software components,coalgebra,semantics",['D' 'F'],state-based software components,software components,state-based software components software components
293,Object-Oriented Action Semantics Specifications,"formal semantics,action semantics,object-oriented specification",['D' 'F'],object-oriented action semantics specifications,formal semantics,object-oriented action semantics specifications formal semantics
294,Developing Adaptive J2ME Applications Using AspectJ,"aspect-Oriented programming,separation of concerns,AOP applications,software architecture,adaptability",['D'],developing adaptive j2me applications,aspect-oriented programming,developing adaptive j2me applications aspect-oriented programming
295,Distributed Typed Concurrent Objects: a Programming Language for Distributed Computations with Mobile Resources,"process-calculus,distributed computing,mobile resources",['D'],distributed typed concurrent objects,distributed computing,distributed typed concurrent objects distributed computing
297,Constant Propagation on Predicated Code,"constant propagation,predicated code,IA-4,predicated SSA-form,predicated value graph,data-flow analysis,optimization",['C' 'D'],constant propagation,constant propagation,constant propagation constant propagation
298,LuaTS - A Reactive Event-Driven Tuple Space,"distributed systems,tuple spaces,event-oriented programming",['C' 'D'],reactive event-driven tuple space,distributed systems,reactive event-driven tuple space distributed systems
299,Lazy Cyclic Reference Counting,"garbage collection,reference counting,cycles,memory management",['D' 'F'],lazy cyclic reference counting,garbage collection,lazy cyclic reference counting garbage collection
300,Aspect Weaving Strategies,"aspect-oriented programming,object-oriented programming",['D'],aspect weaving strategies,aspect-oriented programming,aspect weaving strategies aspect-oriented programming
301,XOCL - an XML Language for Specifying Logical Constraints in Object Oriented Models,"OCL,UML,XML,Meta-Modelling,XMI,XMLShema",['D'],object oriented models,ocl,object oriented models ocl
302,Asynchronous Remote Method Invocation in Java,"distributed programming,asynchronous remote method invocation",['D'],asynchronous remote method invocation,asynchronous remote method invocation,asynchronous remote method invocation asynchronous remote method invocation
303,Practical Type Inference for Polymorphic Recursion: an Implementation in Haskell,"programming languages,type inference,polymorphic recursion",['D'],practical type inference,programming languages,practical type inference programming languages
304,Dependently Typed Pattern Matching,"dependent types,pattern matching,DML",['D'],dependently typed pattern matching,dependent types,dependently typed pattern matching dependent types
305,Haskell#: Parallel Programming Made Simple and Efficient,"fuctional programming,Petri Nets,parallelism,languages",['C' 'D'],parallel programming made simple,fuctional programming,parallel programming made simple fuctional programming
306,Structural Case-Based Reasoning and Ontology-Based Knowledge Management: A Perfect Match?,"Knowledge Management,Case-based Reasoning,Ontology,XML,Semantic Web",['H' 'I'],structural case-based reasoning,knowledge management,structural case-based reasoning knowledge management
307,The Strong Effects of the Soft Factors of Knowledge Management,"knowledge management,corporate culture,leadership",['A' 'H'],strong effects,knowledge management,strong effects knowledge management
308,Organizing the Knowledge Used in Software Maintenance,"ontology,software maintenance,knowledge management",['D' 'K'],software maintenance,software maintenance,software maintenance software maintenance
309,Experience Base Schema Building Blocks of the PLEASERS Library,"experience base schemata,schema building blocks,repository schema reuse,knowledge ,&, experience management",['D' 'H'],experience base schema building blocks,schema building blocks,experience base schema building blocks schema building blocks
310,Case-Based Reuse of Software Examplets,"software reuse,casebased reasoning,retrieval",['D' 'I'],case-based reuse,software reuse,case-based reuse software reuse
311,Effective Integration of Knowledge Management into the Business Starts with a Top-down Knowledge Strategy,"knowledge strategy,KM strategy,integration of KM into business,diagnostics and measurements for KM,cost-benefit check for KM projects",['A'],effective integration,knowledge strategy,effective integration knowledge strategy
312,Defining Culture-Bound User Characteristics as a Starting-Point for the Design of Adaptive Learning Systems,"academic style,adaptivity,cultural dimensions,discourse structures,evaluation,HCI-usability,learning style,learning software,user modeling",['H' 'K'],defining culture-bound user characteristics,academic style,defining culture-bound user characteristics academic style
313,A Note on Culture-sensitive Knowledge Management in OE-sales Area of Robert Bosch GmbH,"decentral knowledge management,knowledge culture,knowledge culture index,Bosch",['A'],culture-sensitive knowledge management,decentral knowledge management,culture-sensitive knowledge management decentral knowledge management
314,SemanticMiner - Ontology-Based Knowledge Retrieval,"information retrieval,knowledge management,knowledge representation,ontology,logic",['E' 'H' 'I'],ontology-based knowledge retrieval,information retrieval,ontology-based knowledge retrieval information retrieval
316,On the Role of the Librarian Agent in Ontology-based Knowledge Management Systems,"information retrieval,ontology,query refinement",['H'],ontology-based knowledge management systems,information retrieval,ontology-based knowledge management systems information retrieval
317,Managing Organizational Risk Knowledge,"risks management,knowledge management,risks planning",['D'],managing organizational risk knowledge,risks management,managing organizational risk knowledge risks management
318,A Multiply Hierarchical Automaton Semantics for the IWIM Coordination Model,"coordination,IWIM,automata,fibration",['C' 'D' 'F'],multiply hierarchical automaton semantics,coordination,multiply hierarchical automaton semantics coordination
319,Relativizing Function Classes,"polynomial-time hierarchy,function classes,oracle separations",['F'],relativizing function classes,polynomial-time hierarchy,relativizing function classes polynomial-time hierarchy
320,Experimental Studies within the Software Engineering Process for Intelligent Assistance in a GUI,"intelligent help,intelligent user interface,object-oriented software engineering,user modelling,experimental studies",['D'],software engineering process,object-oriented software engineering,software engineering process object-oriented software engineering
322,Action Vectors: Modeling Spatial Relations between Objects and Routes,"navigation system,elliptical route descriptions,perspective systems,human spatial cognition",['I'],modeling spatial relations,elliptical route descriptions,modeling spatial relations elliptical route descriptions
323,Direct Granularity Conversions among Temporal Constraints,"temporal constraints,time granularity,temporal abstraction",['I'],direct granularity conversions,temporal constraints,direct granularity conversions temporal constraints
324,Fuzziness and Uncertainty in Temporal Reasoning,"Allen temporal relations,fuzzy relation,approximate reasoning,fuzzy interval,necessity measure,possibility theory",['I'],temporal reasoning,allen temporal relations,temporal reasoning allen temporal relations
325,Abstract Representation of Object and Structural Symmetries Detection,"qualitative reasoning,spatial reasoning,shape recognition,spatial representation,medial axis transform",['I'],structural symmetries detection,medial axis transform,structural symmetries detection medial axis transform
326,Propositional Interval Neighborhood Temporal Logics,"interval temporal logic,axiomatic systems,tableau systems",['F' 'I'],propositional interval neighborhood temporal logics,interval temporal logic,propositional interval neighborhood temporal logics interval temporal logic
328,Modeling and Comparing Farm Maps using Graphs and Case-based Reasoning,"case-based reasoning,hierarchical classification,graphs,description logics,spatial structure analysis,agronomy",['I'],comparing farm maps,spatial structure analysis,comparing farm maps spatial structure analysis
329,Modeling Motion by the Integration of Topology and Time,"qualitative reasoning,temporal reasoning,spatial reasoning,constraint logic programming,autonomous mobile robot navigation,integration",['D' 'H'],modeling motion,autonomous mobile robot navigation,modeling motion autonomous mobile robot navigation
330,An Applied Calculus for Spatial Accessibility Reasoning,"qualitative spatial reasoning,molecular biology,spatial accessibility,Bayesian reasoning",['I'],spatial accessibility reasoning,qualitative spatial reasoning,spatial accessibility reasoning qualitative spatial reasoning
331,Reasoning about Propagation of Properties over Regions,"qualitative spatial reasoning,RCC,GIS,semantic data",['D' 'F'],reasoning,qualitative spatial reasoning,reasoning qualitative spatial reasoning
334,An Inoteroperability Testing Approach to Wireless Applications Protocols,"formal testing,compliance,interoperability,WAP protocol",['C' 'D'],inoteroperability testing approach,formal testing,inoteroperability testing approach formal testing
335,Why it is Difficult to Introduce e-Learning into Schools And Some New Solutions,"e-Learning,WBT,managed learning,constructionist learning",['K'],introduce e-learning,managed learning,introduce e-learning managed learning
337,The Origins and the Development of the ASM Method for High Level System Design and Analysis,"system design,specification methods,system analysis,abstract state machines,models of computation",['C' 'D' 'F' 'G' 'H' 'I'],high level system design,abstract state machines,high level system design abstract state machines
338,An Implicit Recursive Language for the Polynomial Time-space Complexity Classes,"time-space classes,implicit computational  complexity,predicative recursion",['F'],polynomial time-space complexity classes,implicit computational  complexity,polynomial time-space complexity classes implicit computational  complexity
339,On a New Powerful Model for Knowledge Management and its Applications,"Knowledge Management,Information Systems,Data Bases,Document Management,Intelligent Agents",['H'],powerful model,knowledge management,powerful model knowledge management
340,On Second Generation Distributed Component Systems,"Distributed Object System,Distributed Component  System,Componentware,Java,Network Transparency Aspects,Robust Globally Unique Handles,Distributed Relations,Middleware,Dinopolis",['D'],generation distributed component systems,robust globally unique handles,generation distributed component systems robust globally unique handles
342,Membrane Computing: The Power of (Rule) Creation,"molecular computing,membrane computing,Chomsky hierarchy,rewriting,splicing",['F'],membrane computing,molecular computing,membrane computing molecular computing
343,Some Notes on Fine Computability,"Computable analysis,Walsh analysis",['F'],fine computability,computable analysis,fine computability computable analysis
344,Is Democracy Possible in the Internet?,"Cyber Ethics,e-Democracy,Freedom of Speech,Internet Legislation",['K'],democracy,cyber ethics,democracy cyber ethics
346,The New Mobility of Our Society Caused by Telecommunications,"mobility,telecommunication,Internet,information society,information technology",['J' 'K'],society caused,information society,society caused information society
347,Bibliometric Analysis and Visualisation of Intellectual Capital,"intellectual capital report,relational capital,knowledge map,network",['H' 'I'],bibliometric analysis,intellectual capital report,bibliometric analysis intellectual capital report
348,The Role of Interaction Histories in Mental Model Building and Knowledge Sharing in the Legal Domain,"search histories,information retrieval,legal informatics",['D' 'H'],mental model building,search histories,mental model building search histories
349,Knowledge and Intellectual Capital Management Processes: Grounding Knowledge and Understanding of Organisational Learning,"knowledge management,dynamic capabilities,organisational learning,intellectual capital,absorptive capacity,prior knowledge,situated learning,knowledge interchanges",['A'],intellectual capital management processes,knowledge management,intellectual capital management processes knowledge management
350,Knowledge on Demand: Knowledge and Expert Discovery,"knowledge management,knowledge acquisition,natural language,distributed collaboration",['H' 'I'],expert discovery,knowledge management,expert discovery knowledge management
351,Knowledge Transfer in Recycling Networks: Fostering Sustainable Development,"knowledge transfer,knowledge taxonomies,company networks,knowledge networks,recycling agency,sustainable development",['H' 'J'],fostering sustainable development,knowledge transfer,fostering sustainable development knowledge transfer
352,"Ontology-Based Skills Management: Goals, Opportunities and Challenges","skills management,ontologies,RDF",['H' 'I' 'K'],ontology-based skills management,skills management,ontology-based skills management skills management
353,Fostering Knowledge Communication: Concept And Implementation,"knowledge management,knowledge transfer,knowledge tools",['A' 'H'],fostering knowledge communication,knowledge management,fostering knowledge communication knowledge management
354,The Knowledge-Attention-Gap: Do We Underestimate the Problem of Information Overload in Knowledge Management,"knowledge management,information overload,document-explosion,intelligent agents,positive ignorance",['A'],information overload,knowledge management,information overload knowledge management
356,Efficient Content-Based and Metadata Retrieval in Image Database,"image database,image data model,image data repository model,multi-criteria queries,similarity-based operations",['H'],efficient content-based,image data repository model,efficient content-based image data repository model
357,Topic Map Generation Using Text Mining,"topic maps,text mining,corpora,semantic relations,knowledge management",['H' 'I'],topic map generation,topic maps,topic map generation topic maps
358,Knowledge Nodes: the Building Blocks of a Distributed Approach to Knowledge Management,"distributed knowledge management,knowledge nodes,context,epistemology",['H'],knowledge nodes,distributed knowledge management,knowledge nodes distributed knowledge management
359,Instance Cooperative Memory to Improve Query Expansion in Information Retrieval Systems,"cooperative memory relevance feedback,information retrieval,query expansion,user modeling,instance based learning",['H'],instance cooperative memory,cooperative memory relevance feedback,instance cooperative memory cooperative memory relevance feedback
360,Usage-Centered Interface Design for Knowledge Management Software,"user interface design,usage-centered design,knowledge management,interaction patterns,call center",['H'],usage-centered interface design,user interface design,usage-centered interface design user interface design
361,Automated Retrieval of Information in the Internet by Using Thesauri and Gazetteers as Knowledge Sources,"information retrieval,Internet,Thesaurus,Gazetteer",['H'],automated retrieval,information retrieval,automated retrieval information retrieval
362,What to Expect from Software Experience Exploitation,"process improvement,systematic learning from experience",['H' 'K'],software experience exploitation,process improvement,software experience exploitation process improvement
363,"Shark - a System for Management, Synchronization and Exchange of Knowledge in Mobile User Groups","knowledge management,information systems,knowledge work processes",['C' 'H'],mobile user groups,knowledge work processes,mobile user groups knowledge work processes
364,Managing User Focused Access to Distributed Knowledge,"knowledge portal,information integration,ontology",['H'],managing user focused access,knowledge portal,managing user focused access knowledge portal
366,Extracting and Visualizing Knowledge from Film and Video Archives,"digital video library,visualization,metadata extraction,video summarization,video collage",['H' 'I'],visualizing knowledge,digital video library,visualizing knowledge digital video library
367,A Framework for Semantics of UML Sequence Diagrams in PVS,"formal semantics,UML,PVS,formal methods,object-orientation",['D'],uml sequence diagrams,formal semantics,uml sequence diagrams formal semantics
368,Bounded Flooding Routing Algorithm for Provisioning the Globally Optimal Route in a Hierarchical ATM Network,"ATM,hierarchical network management,hierarchical QoS routing,inter-domain network management system,ATM VP optimal route provision",['C' 'G'],bounded flooding routing algorithm,atm vp optimal route provision,bounded flooding routing algorithm atm vp optimal route provision
369,Heyting Algebras and Formal Languages,"lattices,automata,formal languages",['F'],heyting algebras,formal languages,heyting algebras formal languages
371,Co-operative and Interactive Distance Learning: Application of Team-Oriented and Selective Learning Strategies in a European Bank,"computer mediated communication,Web based training,computer supported learning strategies",['H' 'J'],interactive distance learning,computer supported learning strategies,interactive distance learning computer supported learning strategies
372,"Webs, Grids and Knowledge Spaces: Programmes, Projects and Prospects","semantic web,grid computing,knowledge technologies,European research funding",['A' 'H' 'K'],knowledge spaces,european research funding,knowledge spaces european research funding
