ID,Title,Keywords,FirstLevel,titleCleanedLem,keywordCleanedLem,titleCleanedStem,keywordCleanedStem,titleRelevantLem,keywordRelevantLem
107,Constructing Programs or Processes,"process algebra,determinism,cause,refinement,constructive",['F'],constructing process program,refinement cause constructive determinism process algebra,construct process program,caus determin refin construct process algebra,constructing process program,refinement cause constructive determinism process algebra
108,Constructive Aspects of Markov Chains,"Markov chains,constructive",['F'],aspect markov chain constructive,markov chain constructive,aspect markov chain construct,markov chain construct,aspect markov chain constructive,markov chain constructive
109,On the Meaning of Positivity Relations for Regular Formal Spaces,"formal topology,positivity relation,formal spaces,formal reals,regular formal topologies",['F'],regular formal relation meaning positivity space,regular formal relation positivity space real topology,regular posit formal relat mean space,regular posit topolog formal relat space real,regular formal relation meaning positivity space,regular formal relation positivity space real topology
110,Functional Dependencies with Counting on Trees,"functional dependencies,compl,ex value databases,counting attributes,axiomatisation",['F' 'H'],functional dependency tree counting,database value counting ex compl axiomatisation functional attribute dependency,function tree depend count,depend attribut count ex valu function compl databas axiomatis,functional dependency tree counting,database value counting ex compl axiomatisation functional attribute dependency
111,"What is Continuity, Constructively?","continuity,constructive mathematics",['F'],continuity constructively,continuity constructive mathematics,continu construct,continu construct mathemat,continuity constructively,continuity constructive mathematics
113,Constructive Results on Operator Algebras,"constructive mathematics,operator theory,Hilbert spaces",['F'],result constructive operator algebra,constructive operator mathematics hilbert theory space,result oper construct algebra,theori mathemat hilbert space oper construct,result constructive operator algebra,constructive operator mathematics hilbert theory space
114,Hausdorff Measure and Lukasiewicz Languages,"iterated function system,attractor,fractals,Hausdorff measure,Cantor space,omega-languages,fractals,simple deterministic languages",['F'],language lukasiewicz hausdorff measure,simple attractor system omega-languages function deterministic cantor hausdorff space language iterated fractal measure,languag lukasiewicz hausdorff measur,determinist attractor system languag measur omega-languag function cantor hausdorff space simpl iter fractal,language lukasiewicz hausdorff measure,simple attractor system function deterministic cantor hausdorff space language iterated fractal measure
115,How the Mathematical Objects Determine the Mathematical Principles,"constructive analysis,iteration of rational functions",['F' 'G'],determine principle mathematical object,rational analysis constructive function iteration,mathemat determin principl object,analysi ration function iter construct,determine principle mathematical object,rational analysis constructive function iteration
116,Perhaps the Intermediate Value Theorem,"intuitionistic real analysis,intermediate value theorem,perhaps",['G'],intermediate perhaps value theorem,value analysis perhaps intermediate real intuitionistic theorem,perhap valu intermedi theorem,analysi intuitionist intermedi perhap valu real theorem,intermediate perhaps value theorem,value analysis perhaps intermediate real intuitionistic theorem
117,A Constructive Approach to Sylvester's Conjecture,"Sylvester's conjecture,constructive geometry,ordered geometry",['F'],constructive conjecture sylvester approach,geometry constructive ordered sylvester conjecture,sylvest conjectur construct approach,order geometri conjectur sylvest construct,constructive conjecture sylvester approach,geometry constructive ordered sylvester conjecture
118,Sequential Computability of a Function. Effective Fine Space and Limiting Recursion,"Effective Fine Space,Weakly Fine-computable Sequence,Fine-sequential Computability of a Function,Effective Fine-continuous Function,Limiting Recursion",['F' 'G'],fine computability effective function limiting sequential space recursion,fine-computable weakly fine fine-continuous computability fine-sequential effective function limiting space recursion sequence,fine function effect space limit sequenti recurs comput,fine fine-continu sequenc fine-comput function effect space limit weakli recurs fine-sequenti comput,fine computability effective function limiting sequential space recursion,weakly fine computability effective function limiting space recursion sequence
119,From Contents to Activities: Modelling Units of Learning,"e-learning,collaborative learning,educational modelling language,unit of learning,learning object",['H' 'K'],activity unit content learning modelling,collaborative unit learning modelling object educational e-learning language,unit content learn activ model,educ unit collabor languag learn object e-learn model,activity unit content learning modelling,collaborative unit learning modelling object educational language
120,Semantic Web Technologies Applied to e-learning Personalization in &lt;e-aula&gt;,"hypermedia systems,web-based services,XML,semantic web,multimedia",['H'],web e-aula lt e-learning semantic gt technology personalization applied,system multimedia web xml web-based service hypermedia semantic,appli web person technolog e-aula lt semant gt e-learn,servic system multimedia web-bas web xml semant hypermedia,web lt semantic gt technology personalization applied,system multimedia web xml service hypermedia semantic
121,A Tool for the Reinforcement of Conceptual Learning: Description and Use Experiences,"authoring tool,interactive exercise,conceptual learning",['K'],reinforcement learning conceptual tool description use experience,learning conceptual interactive tool authoring exercise,conceptu descript experi learn tool use reinforc,conceptu interact exercis learn author tool,reinforcement learning conceptual tool description use experience,learning conceptual interactive tool authoring exercise
122,Ubiquitous Computing in the Classroom: An Approach through Identification Process,"ubiquitous computing,RFID,implicit interaction,context aware",['F' 'H' 'I' 'K'],computing ubiquitous classroom approach process identification,aware interaction computing context ubiquitous implicit rfid,classroom approach identif ubiquit process comput,interact context awar implicit ubiquit rfid comput,computing ubiquitous classroom approach process identification,aware interaction computing context ubiquitous implicit rfid
123,Integrating Educational Tools for Collaborative Computer Programming Learning,"collaborative programming,computer programming teaching,computer programming learning,program animation,program simulation",['K'],programming collaborative learning computer educational tool integrating,programming animation collaborative learning simulation computer teaching program,educ program collabor learn tool integr comput,teach collabor learn comput simul anim program,programming collaborative learning computer educational tool integrating,programming animation collaborative learning simulation computer teaching program
124,From Chasqui to Chasqui II: an Evolution in the Conceptualization of Virtual Objects,"e-learning,virtual object,learning object,virtual museum,LCMS,virtual campus,authoring tool,web services,LOM,SCORM,IMS",['K'],evolution virtual object conceptualization ii chasqui,lcm learning web ims object virtual lom e-learning tool museum service scorm authoring campus,conceptu evolut virtual object ii chasqui,lcm campu servic web learn object virtual lom author im tool museum scorm e-learn,evolution virtual object conceptualization ii chasqui,lcm learning web ims object virtual lom tool museum service scorm authoring campus
125,Authoring and Diagnosis of Learning Activities with the KADD ET Environment,"learning environments,cognitive diagnosis,authoring tools,error libraries,model tracing",['K'],activity authoring environment learning diagnosis kadd et,cognitive environment learning diagnosis tool library tracing error authoring model,diagnosi environ learn author activ kadd et,diagnosi cognit environ librari learn author tool trace error model,activity authoring environment learning diagnosis kadd et,cognitive environment learning diagnosis tool library tracing error authoring model
126,A System to Support Asynchronous Collaborative Learning Tasks Using PDAs,"PDA,computer-supported collaborative learning,mobile computing,domotics",['J' 'K'],task collaborative system learning support pda using asynchronous,collaborative computing learning domotics computer-supported pda mobile,task asynchron system collabor learn support pda use,domot collabor learn computer-support pda mobil comput,task collaborative system learning support pda using asynchronous,collaborative computing learning domotics pda mobile
127,Case Studies in Tele-Education: Research and Projects,"Internet,web-based services,multimedia,hypertext/hypermedia,computer uses in education",['C' 'H' 'K'],research project study case tele-education,us multimedia computer web-based internet service education hypertext/hypermedia,tele-educ research studi project case,educ servic multimedia web-bas hypertext/hypermedia internet use comput,research project study case,us multimedia computer internet service education
128,Integrating Ontologies into the Collaborative Authoring of Learning Objects,"learning objects,metadata,ontologies,collaborative annotation",['K'],collaborative learning object ontology integrating authoring,metadata collaborative annotation learning object ontology,collabor learn object author ontolog integr,metadata annot collabor learn object ontolog,collaborative learning object ontology integrating authoring,metadata collaborative annotation learning object ontology
130,Analyzing Module Diversity,"package,module,selector namespaces,classboxes,virtual classes,Small-talk,Java,Ruby,C#",['D'],analyzing diversity module,small-talk virtual module package classboxes java selector ruby namespaces class,analyz divers modul,small-talk modul packag virtual rubi namespac java classbox class selector,analyzing diversity module,virtual module package classboxes java selector ruby namespaces class
132,Coordinating Behavioral Descriptions of Components,"coordination,process algebra,modular embedding,expressiveness",['D'],behavioral coordinating description component,coordination modular expressiveness embedding process algebra,behavior descript compon coordin,express modular embed coordin process algebra,behavioral coordinating description component,coordination modular expressiveness embedding process algebra
133,From Algebras to Objects: Generation and Composition,"software formal specification,objectÂ­orientation,object composition",['D'],object generation composition algebra,objectâ­orientation formal composition specification object software,gener composit object algebra,objectâ­orient formal composit object softwar specif,object generation composition algebra,formal composition specification object software
134,A Non-Invasive Approach to Assertive and Autonomous Dynamic Component Composition in the Service-Oriented Paradigm,"dynamic component composition,Service Oriented Architecture,Web Services,assertive composition,autonomous composition,intermediate code manipulation,aspect-oriented programming,aspect weaving,.NET,Common Language Runtime",['D' 'H' 'I'],assertive autonomous composition service-oriented approach dynamic non-invasive component paradigm,autonomous code manipulation aspect intermediate dynamic common service net language aspect-oriented runtime architecture assertive programming oriented web composition component weaving,service-ori compon composit dynam assert approach autonom non-invas paradigm,compon code composit dynam aspect common orient net servic intermedi runtim assert autonom weav languag web manipul aspect-ori architectur program,assertive autonomous composition approach dynamic component paradigm,autonomous code manipulation aspect intermediate dynamic common service net language runtime architecture assertive programming oriented web composition component weaving
135,Probabilistic Models for Reo Connector Circuits,"probabilistic constraint automata,Reo,coordination,composition,Markov decision process,bisimulation",['D' 'F' 'G'],probabilistic reo circuit connector model,markov decision probabilistic constraint coordination reo composition automaton bisimulation process,reo circuit connector probabilist model,markov decis constraint composit reo coordin automata bisimul probabilist process,probabilistic reo circuit connector model,markov decision probabilistic constraint coordination reo composition automaton bisimulation process
136,Modular Verification of a Component-Based Actor Language,"actor model,reactive systems,Rebeca,component,modular verification",['D' 'F'],modular verification actor language component-based,system modular rebeca verification reactive actor component model,modular languag verif actor component-bas,reactiv compon system modular rebeca verif actor model,modular verification actor language,system modular rebeca verification reactive actor component model
137,The Effect of Personality-Aware Computer-Human Interfaces on Learning,"Human-Computer Interaction,e-learning,Myers-Briggs Type Indicator,MBTI",['H' 'K'],personality-aware learning computer-human effect interface,myers-briggs human-computer type interaction e-learning indicator mbti,computer-human learn effect personality-awar interfac,interact type indic myers-brigg human-comput mbti e-learn,learning effect interface,type interaction indicator mbti
138,Situated Models and Metadata for Learning Management,"eLearning,metadata,situated learning",['K'],metadata management situated learning model,learning metadata elearning situated,situat manag metadata learn model,elearn situat metadata learn,metadata management situated learning model,learning metadata elearning situated
139,User Context Aware Delivery of E-Learning Material: Approach and Architecture,"e-learning,learning objects,user context-aware retrieval,ontologies",['H' 'K'],user aware context approach delivery e-learning material architecture,context-aware user learning object e-learning ontology retrieval,architectur user deliveri context materi awar approach e-learn,user retriev learn object ontolog e-learn context-awar,user aware context approach delivery material architecture,user learning object ontology retrieval
140,Intercultural Factors in Web-based Training Systems,"user interface design,usage-centered design,knowledge management,Web-based training,interaction patterns,cross-cultural/intercultural factors",['H' 'J'],system training factor web-based intercultural,user management design interaction training knowledge factor usage-centered web-based pattern interface,system web-bas factor train intercultur,manag interact knowledg user design web-bas factor train usage-cent interfac pattern,system training factor intercultural,user management design interaction training knowledge factor pattern interface
141,Discovering Student Models in e-learning Systems,"e-learning,learning objects,user context",['K'],system student e-learning discovering model,user context learning object e-learning,system student discov e-learn model,user context learn object e-learn,system student discovering model,user context learning object
142,Experiences with Adaptive User and Learning Models in eLearning Systems for Higher Education,"CSCL,adaptive, eLearning,user modeling,learning models",['H'],higher adaptive model user system learning elearning education experience,adaptive user learning elearning modeling cscl model,higher educ user system experi elearn learn adapt model,user elearn learn adapt cscl model,higher adaptive model user system learning elearning education experience,adaptive user learning elearning modeling cscl model
143,"Game-Based Learning in Universities and Lifelong Learning: ""UniGame: Social Skills and Knowledge Training"" Game Concept","education,collaborative learning,constructivism,game-based learning,game,motivation",['H' 'I' 'K'],social learning training knowledge game unigame game-based concept skill university lifelong,motivation collaborative learning game game-based education constructivism,knowledg unigam social game learn train skill concept univers lifelong game-bas,educ collabor game learn motiv constructiv game-bas,social learning training knowledge game unigame concept skill university lifelong,motivation collaborative learning game education constructivism
144,The Role of Adaptation and Personalisation in Classroom-Based Learning and in e-Learning,"learning,teaching,personalisation",['H' 'I'],personalisation adaptation learning classroom-based role e-learning,learning teaching personalisation,classroom-bas personalis learn adapt role e-learn,teach personalis learn,personalisation adaptation learning role,learning teaching personalisation
146,A Message-Optimal Distributed Graph Algorithm: Partial Precedence Constrained Scheduling,"distributed algorithm,directed graph,scheduling,task,precedence constraints",['F' 'G'],constrained algorithm message-optimal graph partial scheduling distributed precedence,directed task algorithm constraint graph scheduling distributed precedence,algorithm schedul partial graph constrain message-optim preced distribut,task algorithm schedul constraint graph direct preced distribut,constrained algorithm graph partial scheduling distributed precedence,directed task algorithm constraint graph scheduling distributed precedence
147,A Rapid Prototyping Environment for Multi-DSP Systems based on Accurate Performance Prediction,"rapid prototyping,scheduling,performance prediction,multi-DSP,embedded systems,data flow",['B' 'C' 'D'],multi-dsp based environment performance system prediction rapid prototyping accurate,multi-dsp performance system embedded prediction flow rapid scheduling prototyping data,multi-dsp accur system environ predict rapid perform prototyp base,multi-dsp system schedul embed flow predict rapid perform data prototyp,based environment performance system prediction rapid prototyping accurate,performance system embedded prediction flow rapid scheduling prototyping data
148,Securing Web-Based Exams,"web-based exam,assessment,security,supervision,fraud prevention",['K'],securing web-based exam,assessment fraud security web-based exam supervision prevention,secur web-bas exam,supervis fraud web-bas prevent exam assess secur,securing exam,assessment fraud security exam supervision prevention
150,Facilitating Knowledge Exchange and Decision Making within Learning Networks,"learning networks,learning management system,communities of practice,broker",['I'],decision exchange making network learning knowledge facilitating within,community management system network learning practice broker,knowledg decis exchang network learn facilit make within,manag system broker network practic learn commun,decision exchange making network learning knowledge facilitating within,community management system network learning practice broker
151,Managing the KM Trade-Off: Knowledge Centralization versus Distribution,"intellectual capital,knowledge markets,mental models,communities of practice,retrospective rationality,bounded rationality,constructivism,organizational trade-offs",['A' 'H'],versus distribution knowledge km trade-off centralization managing,organizational mental market community retrospective capital rationality bounded knowledge practice intellectual trade-off constructivism model,knowledg manag central km trade-off versu distribut,organiz knowledg mental market capit practic ration retrospect trade-off constructiv intellectu commun bound model,versus distribution knowledge km centralization managing,organizational mental market community retrospective capital rationality bounded knowledge practice intellectual constructivism model
152,Knowledge Nodes: the Reification of Organizational Communities. The Pizzarotti Case Study,"distributed knowledge management,communities,knowledge nodes",['C' 'H'],organizational community reification knowledge pizzarotti case study node,community management knowledge distributed node,organiz knowledg studi pizzarotti case reific node commun,manag knowledg node commun distribut,organizational community reification knowledge pizzarotti case study node,community management knowledge distributed node
153,OntoShare - An Ontology-based Knowledge Sharing System for virtual Communities of Practice,"knowledge sharing community,semantic web",['H'],ontoshare community ontology-based sharing system knowledge virtual practice,community sharing web knowledge semantic,ontology-bas knowledg system ontoshar share practic virtual commun,knowledg web share semant commun,ontoshare community sharing system knowledge virtual practice,community sharing web knowledge semantic
154,Participative Process Introduction: Three Case Studies From the indiGo Project,"distributed participative process evolution,process introduction,process improvement,process inspection,eParticipative Process Learning,indigo",['D' 'H' 'K'],participative project indigo introduction study case three process,participative evolution learning indigo introduction improvement distributed inspection eparticipative process,studi project indigo introduct particip case three process,evolut process indigo introduct learn particip eparticip inspect improv distribut,participative project indigo introduction study case three process,participative evolution learning indigo introduction improvement distributed inspection process
155,Communities of Practice: An Integrated Technology Perspective,"communities of practice,knowledge management,e-Learnin,g,information technology,intranet,extranet,personalization,enterprise content management",['A' 'C' 'H' 'K'],community practice integrated technology perspective,community management content intranet extranet knowledge e-learnin practice enterprise technology information personalization,perspect practic technolog integr commun,manag knowledg enterpris content intranet extranet practic e-learnin person technolog commun inform,community practice integrated technology perspective,community management content intranet extranet knowledge practice enterprise technology information personalization
156,Against Hierarchy and Chaos Knowledge Coproduction in Nets of Experts,"communities of practice,nets of experts,case study,Siemens,Volkswagen,Deutsche Telekom,WiKo",['K'],hierarchy chaos coproduction knowledge net expert,siemens community volkswagen telekom practice deutsche case study wiko net expert,chao knowledg coproduct hierarchi net expert,studi expert volkswagen telekom practic siemen case deutsch wiko net commun,hierarchy chaos coproduction knowledge net expert,siemens community volkswagen telekom practice deutsche case study wiko net expert
157,Organic Perspectives of Knowledge Management: Knowledge Evolution through a Cycle of Knowledge Liquidization and Crystallization,"knowledge liquidization and crystallization,knowledge management,community of practice,Knowledge Nebula Crystallizer,livingOM,ART-SHTA,organic perspective",['H' 'I' 'K'],evolution management organic knowledge cycle liquidization perspective crystallization,crystallizer community management nebula organic knowledge livingom practice liquidization art-shta perspective crystallization,manag knowledg evolut organ perspect liquid cycl crystal,manag knowledg organ nebula perspect practic livingom liquid art-shta crystal commun,evolution management organic knowledge cycle liquidization perspective crystallization,crystallizer community management nebula organic knowledge livingom practice liquidization perspective crystallization
159,Supporting Knowledge Creation and Sharing in Communities Based on Mapping Implicit Knowledge,"knowledge Management,communities of practice,knowledge discovery,knowledge visualisation,semantic web",['H'],supporting based community sharing mapping creation knowledge implicit,community management discovery web knowledge practice visualisation semantic,knowledg creation share map support implicit base commun,visualis manag knowledg web practic semant discoveri commun,supporting based community sharing mapping creation knowledge implicit,community management discovery web knowledge practice visualisation semantic
160,"Etiquette, Empathy and Trust in Communities of Practice: Stepping-Stones to Social Capital","tacit knowledge,explicit knowledge,social norms,trust,etiquette,social capital,communities of practice,online communities,sociability",['A' 'H' 'I'],trust community etiquette social practice stepping-stones empathy capital,trust community etiquette social norm tacit knowledge sociability explicit practice online capital,stepping-ston empathi trust social etiquett capit practic commun,knowledg trust social etiquett norm sociabl capit tacit practic explicit onlin commun,trust community etiquette social practice empathy capital,trust community etiquette social norm tacit knowledge sociability explicit practice online capital
161,On Determinism of Evolution-Communication P Systems,"Membrane computing,P system,Determinism,Computational  completeness",['F'],evolution-communication determinism system,computational system computing membrane completeness determinism,determin evolution-commun system,system membran complet determin comput,determinism system,computational system computing membrane completeness determinism
162,Population P Systems,"Membrane computing,Cell bonding,Cell division,Cell differentiation,Turing computability",['F'],population system,computability differentiation computing membrane division cell turing bonding,system popul,bond membran divis ture differenti cell comput,population system,computability differentiation computing membrane division cell turing bonding
163,P Systems with Symport/Antiport of Rules,"Membrane computing,Communication,Evolution,P system,Symport,Antiport",['F'],rule system symport/antiport,communication antiport evolution system computing membrane symport,rule system symport/antiport,evolut antiport system membran symport commun comput,rule system,communication antiport evolution system computing membrane symport
164,A Note on Complexity Measures for Probabilistic P Systems,"P systems,Entropy,Natural Computing",['F' 'G' 'H'],note system probabilistic complexity measure,natural computing entropy system,complex note system measur probabilist,natur system entropi comput,note system probabilistic complexity measure,natural computing entropy system
165,Finding the Maximum Element Using P Systems,"Maximum value,P systems,Natural computing,Membrane computing",['F'],element finding system maximum using,value system computing membrane maximum natural,element system maximum find use,system membran maximum valu natur comput,element finding system maximum using,value system computing membrane maximum natural
166,On P Systems with Promoters/Inhibitors,"P Systems,universality,promoters,inhibitors",['F'],promoters/inhibitors system,universality inhibitor system promoter,system promoters/inhibitor,inhibitor promot univers system,system,universality inhibitor system promoter
167,Simulating the Fredkin Gate with Energy-Based P Systems,"Energy-based P systems,Fredkin gate,conservative logic,reversibility,conservativeness",['F'],gate system energy-based fredkin simulating,reversibility gate system energy-based fredkin conservative conservativeness logic,gate system fredkin simul energy-bas,gate system revers fredkin conserv energy-bas logic,gate system fredkin simulating,reversibility gate system fredkin conservative logic
168,A Java Simulator for Membrane Computing,"P system,Parallelism,Simulation,Java",['D' 'F'],computing membrane simulator java,simulation java system parallelism,membran java simul comput,parallel java system simul,computing membrane simulator java,simulation java system parallelism
169,An Efficient Family of P Systems for Packing Items into Bins,"Membrane computing,Recognizer P systems,Complexity classes,Bin Packing problem,CLIPS",['F'],system family efficient item bin packing,recognizer system complexity problem computing membrane bin packing clip class,system item bin famili pack effici,complex system membran problem bin class clip recogn pack comput,system family efficient item bin packing,recognizer system complexity problem computing membrane bin packing clip class
170,P Systems with Active Membranes and Separation Rules,"Natural computing,Membrane computing,Distributed computing",['C' 'F'],system separation membrane rule active,natural computing membrane distributed,separ system membran activ rule,membran natur distribut comput,system separation membrane rule active,natural computing membrane distributed
172,Knowledge Integration as a Source of Competitive Advantage in Large Croatian Enterprises,"knowledge integration,knowledge management,strategic human resource management,competitive advantage",['A' 'H'],large competitive croatian integration source knowledge advantage enterprise,human competitive management integration knowledge advantage strategic resource,larg knowledg enterpris croatian competit advantag sourc integr,human manag knowledg competit advantag resourc integr strateg,large competitive croatian integration source knowledge advantage enterprise,human competitive management integration knowledge advantage strategic resource
173,"A Systematic Approach for Knowledge Audit Analysis: Integration of Knowledge Inventory, Mapping and Knowledge Flow Analysis","knowledge audit,knowledge inventory,knowledge map,social network analysis,knowledge flow analysis",['A'],audit mapping analysis integration flow knowledge systematic approach inventory,audit analysis social network flow map knowledge inventory,analysi knowledg audit systemat flow map approach integr inventori,analysi knowledg audit social network flow map inventori,audit mapping analysis integration flow knowledge systematic approach inventory,audit analysis social network flow map knowledge inventory
174,Semantic-based Approach to Task Assignment of Individual Profiles,"skill matching,knowledge elicitation,Description Logics",['H' 'I' 'K'],semantic-based task profile approach assignment individual,knowledge skill elicitation description matching logic,task individu assign approach profil semantic-bas,knowledg descript skill match elicit logic,task profile approach assignment individual,knowledge skill elicitation description matching logic
175,Facilitating Knowledge Communication through Joint Interactive Visualization,"visualization,knowledge communication,knowledge evasion,knowledge refusal,knowledge disavowal,joint interaction",['H' 'J'],communication visualization joint knowledge interactive facilitating,communication visualization interaction joint knowledge evasion refusal disavowal,knowledg visual interact joint facilit commun,disavow knowledg interact visual joint evas commun refus,communication visualization joint knowledge interactive facilitating,communication visualization interaction joint knowledge evasion refusal disavowal
176,A Framework for the Successful Introduction of KM Using CBR and Semantic Web Technologies,"case-based reasoning,knowledge management,semantic Web",['H'],web introduction framework cbr successful km using technology semantic,management reasoning web knowledge case-based semantic,web introduct framework cbr technolog km semant use success,manag knowledg reason web case-bas semant,web introduction framework cbr successful km using technology semantic,management reasoning web knowledge semantic
177,Knowledge Management Analysis of the Research & Development & Transference Process at HEROs: a Public University Case,"Knowledge Management at Universities,Research and Development Management,Process Analysis",['A' 'E' 'K'],research management public analysis knowledge development hero case university transference process,research management analysis knowledge development university process,analysi manag research knowledg transfer public develop hero case univers process,analysi manag research knowledg develop univers process,research management public analysis knowledge development hero case university transference process,research management analysis knowledge development university process
178,SELaKT - Social Network Analysis as a Method for Expert Localisation and Sustainable Knowledge Transfer,"knowledge networks,collaboration,communities of practice,expert localisation,distributed knowledge management,knowledge sharing,social network analysis,sustainability,strategies,implementation,applied research",['A' 'H' 'J'],transfer sustainable social analysis network method selakt knowledge localisation expert,research sharing management community social analysis network collaboration knowledge strategy sustainability practice distributed implementation localisation expert applied,analysi knowledg transfer social network method selakt localis expert sustain,analysi manag research knowledg social distribut implement network collabor share practic localis expert appli commun strategi sustain,transfer sustainable social analysis network method selakt knowledge localisation expert,research sharing management community social analysis network collaboration knowledge strategy sustainability practice distributed implementation localisation expert applied
179,"An Investigation into Sharing Metadata: ""I'm not thinking what you are thinking""","metadata,knowledge sharing,agreement",['H'],investigation metadata thinking sharing,metadata agreement knowledge sharing,think metadata investig share,knowledg metadata agreement share,investigation metadata thinking sharing,metadata agreement knowledge sharing
181,Modelling Lexical Databases with Formal Concept Analysis,"Formal Concept Analysis,lexical databases,semantic relations",['I'],database formal analysis lexical modelling concept,database formal relation analysis lexical concept semantic,analysi formal concept databas lexic model,analysi formal semant concept relat databas lexic,database formal analysis lexical modelling concept,database formal relation analysis lexical concept semantic
182,Breadth First Search Graph Partitions and Concept Lattices,"formal concept analysis,Bipartite Graph,Breadth First Search",['G'],graph search partition concept breadth lattice first,formal analysis bipartite graph search concept breadth first,lattic graph search concept partit breadth first,analysi formal graph search concept bipartit breadth first,graph search partition concept breadth lattice first,formal analysis bipartite graph search concept breadth first
183,Exploiting the Potential of Concept Lattices for Information Retrieval with CREDO,"concept lattices,information retrieval,CREDO,web mining",['H'],information concept exploiting potential credo lattice retrieval,information web mining concept credo lattice retrieval,lattic retriev concept exploit credo potenti inform,mine lattic web retriev concept credo inform,information concept exploiting potential credo lattice retrieval,information web mining concept credo lattice retrieval
184,Conflict Avoidance in Additive Order Diagrams,"lattice diagrams,automatic diagram layout",['H'],additive order diagram avoidance conflict,diagram automatic layout lattice,order addit diagram avoid conflict,diagram automat layout lattic,additive order diagram avoidance conflict,diagram automatic layout lattice
186,On the Intractability of Computing the Duquenne-Guigues Base,"implication base,computational complexity",['F' 'H'],computing base intractability duquenne-guigues,base implication computational complexity,intract duquenne-guigu base comput,implic complex comput base,computing base intractability,base implication computational complexity
187,Galois Lattice Theory for Probabilistic Visual Landmarks,"computer vision,visual landmarks,localization,orientation,autonomous mobile robotics,Galois lattices,concept lattices,formal concept analysis.",['H'],visual probabilistic landmark theory galois lattice,mobile autonomous visual formal analysis localization landmark computer vision concept robotics galois lattice orientation,theori visual lattic landmark galoi probabilist,analysi visual formal lattic mobil landmark vision concept local orient autonom galoi robot comput,visual probabilistic landmark theory galois lattice,mobile autonomous visual formal analysis localization landmark computer vision concept robotics galois lattice orientation
189,FBT: A Tool for Applying Interval Logic Specifications to On-the-fly Model Checking,"specification,temporal logic,interval logic,FIL (Future Interval Logic),GIL (Graphical Interval Logic),automatic verification,on-the-fly model checking,tableau method,Buechi Automata",['D' 'F'],interval logic model specification fbt checking tool applying on-the-fly,interval fil graphical tableau logic temporal future method buechi specification automaton verification automatic on-the-fly checking gil model,logic model check appli tool interv fbt specif on-the-fli,logic fil tableau automat check graphic method tempor buechi on-the-fli verif futur automata gil interv specif model,interval logic model specification fbt checking tool applying,interval fil graphical tableau logic temporal future method buechi specification automaton verification automatic checking gil model
190,Checking Consistency between UML Class and State Models Based on CSP and B,"UML,formal methods,Communicating Sequential Processes,B Abstract Mac,hine Notation",['D'],based consistency csp checking state uml class model,formal mac hine method communicating sequential abstract notation uml process,check csp state consist base uml class model,abstract formal mac hine method notat sequenti commun uml process,based consistency csp checking state uml class model,formal mac hine method communicating sequential abstract notation uml process
191,Automated Support for Enterprise Information Systems,"automated reasoning,formal specification,heuristics,OTTER,set theory,Z",['D' 'F' 'I'],system automated support enterprise information,formal set reasoning heuristic automated specification theory otter,system enterpris support autom inform,theori formal set reason autom heurist otter specif,system automated support enterprise information,formal set reasoning heuristic automated specification theory otter
192,MINCE: A Static Global Variable-Ordering Heuristic for SAT Search and BDD Manipulation,"SAT,CNF,BDDs,backtrack search,decision heuristics,variable ordering,formal verification,partitioning",['I'],mince heuristic manipulation sat search static global variable-ordering bdd,ordering partitioning decision formal heuristic sat search bdds backtrack cnf variable verification,sat search static global manipul heurist minc variable-ord bdd,order formal decis sat search backtrack cnf verif partit heurist variabl bdd,mince heuristic manipulation sat search static global bdd,ordering partitioning decision formal heuristic sat search bdds backtrack cnf variable verification
193,Using Global Structural Relationships of Signals to Accelerate SAT-based Combinational Equivalence Checking,"Boolean Satisfiability (SAT),Static Logic Implications,Combinational Equivalence Checking (CEC),Propositional Formula,Boolean Formula",['B' 'F' 'I'],signal equivalence sat-based accelerate structural global checking using combinational relationship,equivalence formula sat boolean implication static checking propositional satisfiability combinational cec logic,signal acceler check combin relationship global equival use structur sat-bas,check formula implic combin sat boolean proposit static equival satisfi cec logic,signal equivalence accelerate structural global checking using combinational relationship,equivalence formula sat boolean implication static checking propositional satisfiability combinational cec logic
194,Improving SAT-based Bounded Model Checking by Means of BDD-based Approximate Traversals,"binary decision diagrams (BDDs),satisfiability  (SAT),bounded model checking (BMC),reachability analysis",['I' 'J'],approximate sat-based bounded bdd-based mean checking improving traversal model,decision reachability analysis diagram bounded sat bdds binary checking satisfiability bmc model,check travers mean approxim bdd-base improv bound sat-bas model,analysi model check decis diagram sat binari satisfi bmc reachabl bound bdd,approximate bounded mean checking improving traversal model,decision reachability analysis diagram bounded sat bdds binary checking satisfiability bmc model
195,Function-Complete Lookahead in Support of Efficient SAT Search Heuristics,"Binary Decision Diagrams,Bounded Model Checking,DAG,Satisfiability,State Machines,Satisfiability Decision Heuristics",['B' 'F'],function-complete heuristic efficient sat search support lookahead,dag decision diagram heuristic bounded binary checking state satisfiability machine model,function-complet sat search support heurist lookahead effici,dag heurist check decis diagram state machin binari satisfi bound model,heuristic efficient sat search support lookahead,dag decision diagram heuristic bounded binary checking state satisfiability machine model
